"Group.1","iTRAQ8.113","iTRAQ8.114","iTRAQ8.115","iTRAQ8.116","iTRAQ8.117","iTRAQ8.118","iTRAQ8.119","iTRAQ8.121","perox.2015","perox.2017","mito.2015","mito.2017","nucleus.2015","nucleus.2017","golgi.2015","golgi.2017","ER.2015","ER.2017","PM.2015","PM.2017"
"A930017K11Rik",10710.4657951912,4011.24684846258,73306.1251442183,9291.37872573332,14621.9427940527,1457.53827768918,21171.2506298091,25927.4917457181,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Aaas",940255.703241659,143499.73836292,133555.036724684,850426.984813524,631165.53152536,94007.5170858994,352941.384451749,162257.874935136,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Aacs",1706996.09320506,3109582.00910434,473528.359171672,1480940.60429732,1157389.7061415,645472.226337465,1963765.05668578,1041966.52977686,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Aadac",33858395.6334981,1120518.32253933,3802382.87023045,30345456.7784018,6905232.34495963,2271366.31624576,9662852.27463236,8570705.28987609,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Aadacl2",411719.735385886,6384.5323952193,70561.2306717477,377034.721788619,86202.5519989656,32215.0563621245,84324.5014094019,180565.468866764,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Aadat",5436701.64643073,11494487.8307006,96021596.6104905,15267087.4098627,37353733.7824577,2939482.26892439,40071488.178988,43843784.3220747,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Aaed1",198827.384408311,51740.3336001418,34851.4090578267,169901.555848775,92865.1498678466,112352.13747464,77281.6859095515,147376.698211289,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Aak1",1239967.60086819,731805.879625074,270960.099634435,675859.316284721,530097.76446718,346758.408475931,694477.656501418,426966.962799816,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"Aamp",628439.276571885,3004421.48524184,826508.305840011,780158.915572199,701283.381970206,384677.834911725,1606122.19930585,807887.32132883,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AAR2",2662.01052624,6393.022520352,817.651480724,2584.413394784,2325.744543304,1394.397240652,2936.680430996,1738.0798838,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Aars",18459554.6279343,80817044.7967389,6003898.46541399,20235560.1451421,11859255.6923055,13081237.8413148,41464687.3188334,14036191.8723917,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Aars2",536308.294511719,588952.985176871,4683059.44726915,1424332.52867344,2008430.23800559,595627.738075454,2127147.69909661,2726072.88123588,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Aarsd1",1068550.31007024,1882792.85901663,633812.956435696,968921.657711976,1831942.53582233,449194.729361964,1475653.06923746,731691.835495972,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Aasdhppt",720576.616390795,1926189.68444667,2417337.61956912,1285173.76458186,1449939.10529274,535706.244638813,1897308.16192362,2173044.70986572,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Aass",6173392.54977312,6315564.09645112,108719403.526703,15246808.0410843,36765284.7866049,3921009.50199477,45651399.4856297,40693473.7662691,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Aatf",2506.12617589211,1333.08933504688,0,713.181931401138,5975.98616404067,0,4069.64596567311,568.333427946092,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Abat",8342383.18890334,5972404.36001784,115196153.362688,18035407.954768,40687530.2443096,2662047.72061344,45840840.2583789,48869664.5183897,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Abca1",4044010.21098189,526968.705140573,1408254.55131122,4136124.00593964,1993116.17264296,2518578.08105193,1736965.62423854,2240109.59860998,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Abca12",322537.308621671,327995.61003395,263872.692007647,238783.498084237,299791.110170045,80935.4498271884,320690.511150382,220535.600064201,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Abca14",4184857.2661557,4548923.32110787,1354012.89153552,2882847.18435858,2354790.68872074,2127703.88863066,2789670.21452523,1519820.98486311,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Abca15",38954.0313859373,11192.6837383076,64045.520025171,474648.32976298,16262.7077468728,2157750.9628729,48555.3337631415,587531.433447536,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Abca16",1149314.67616594,164093.297695466,1699830.03023901,1027607.93600482,672066.846574301,1611264.55303431,570981.136264939,1343339.11464746,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Abca17",169723.17308338,115499.775852577,310223.773881897,544818.229255329,80319.4390594153,1175967.53142216,133522.041371866,546825.606153799,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Abca2",2356885.47518668,177083.350491431,1292167.01858361,7361615.87694427,506908.585942857,764459.992483753,994828.382442612,7259483.55257671,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ABCA3",72579.0418980365,45449.6685516054,60587.9988989808,225488.409102409,21395.531668466,1010345.33711101,46899.5396192166,257523.272676747,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Abca4",1023.45750671082,1532.10639116255,5122.6334845724,2283.07514210908,2830.62086004861,1523.17892899892,3352.33877770923,3654.34190212753,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Abca5",139547.884071626,107879.765877096,46926.4439961304,252747.808453045,39886.6918629384,776723.898406632,98940.2276572204,160015.678052644,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Abca6",98550846.0293652,4249461.68320536,28097333.6854448,37241338.5208668,25675862.3167541,18596630.798262,31614651.3137215,28548792.4602657,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Abca7",5101.85285717678,9917.55365754739,1141.02069359086,8631.48805045666,3451.30680270631,719.062966709776,5832.85953565326,3690.51746646705,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"Abca8a",69493365.6699923,3090748.03430208,17869121.5824269,65955384.6743135,36096269.346635,34593864.611007,25885132.2534803,28797677.0924572,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Abca8b",5732797.59419386,563848.46406952,1468474.67371653,4717431.21510163,2377639.03177577,2652579.98611878,2126215.39065615,2097823.99457009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Abca9",21102.1476661305,0,2040.62759911628,2259.50808234965,2052.37730594756,656.872572936419,1448.85462320423,1676.70315031533,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Abcb10",2559626.04510967,428522.756444852,15784812.7560643,7423067.86535662,5303726.3742112,2118015.79921805,5770782.43553643,10413087.1476338,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Abcb11",57468144.8143097,3671033.11232856,24333396.8881363,51394306.9462318,124130968.063549,27512161.2745203,51788251.4161762,19440929.212596,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"Abcb1a",1889666.68640054,330458.973656764,852272.960230668,1533588.85500339,2596789.88483678,804842.913274817,1302937.33524573,825338.739781068,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Abcb1b",188481.198140453,11030.4610123197,17559.3157029636,127170.201167473,342758.972665458,11020.2110857302,138359.940633214,53231.1754091469,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"Abcb4",9623995.33235229,2033151.57498904,3825220.58567743,8923670.68169848,15745260.7557302,5001488.97974778,8157951.09903508,4669390.34998608,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"Abcb5",336667.308987342,487818.963750287,540671.9183315,233116.123060997,284821.17693752,125410.236368731,374378.308774451,298629.595414118,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Abcb6",11574260.4500197,2508247.95605673,10171715.2318825,34022286.1248313,5820733.46702189,84767446.7303927,7566861.95476505,29736757.177152,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"Abcb7",2902953.64908927,534969.919602183,15707200.5533271,5291761.8311208,6185957.90906478,1859566.91726957,7360480.64047328,10499881.0492474,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Abcb8",987029.431872759,168740.001945293,2739744.39304659,2032608.65771769,1306363.46950185,583452.577463208,1319723.20771412,2559911.62047314,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
